,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,Neural Network
Naive Bayes,0.0,2.4881998306876705e-08,1.380695961642328e-06,9.074302041152326e-09,2.3635950613274563e-08
Decision Tree,2.4881998306876705e-08,0.0,4.918612703336253e-06,9.612911730896777e-05,3.0642878732941564e-05
Logistic Regression,1.380695961642328e-06,4.918612703336253e-06,0.0,4.149483996097487e-06,1.02903110135543e-05
Random Forest,9.074302041152326e-09,9.612911730896777e-05,4.149483996097487e-06,0.0,6.195609329210984e-06
Neural Network,2.3635950613274563e-08,3.0642878732941564e-05,1.02903110135543e-05,6.195609329210984e-06,0.0
