,precision,recall,f1-score,support
Normal,0.5631981317059199,0.6908918918918919,0.6205440046608164,37000.0
Attack,0.6904149635925615,0.5626489014382776,0.6200182315405651,45332.0
accuracy,0.620281300102026,0.620281300102026,0.620281300102026,0.620281300102026
macro avg,0.6268065476492407,0.6267703966650848,0.6202811181006908,82332.0
weighted avg,0.6332437205788397,0.620281300102026,0.6202545139756972,82332.0
