,precision,recall,f1-score,support
Normal,0.9715623954499832,0.6278918918918919,0.7628053585500394,37000.0
Attack,0.7643272851763094,0.9849995588105532,0.8607448531112654,45332.0
accuracy,0.8245153767672351,0.8245153767672351,0.8245153767672351,0.8245153767672351
macro avg,0.8679448403131463,0.8064457253512225,0.8117751058306524,82332.0
weighted avg,0.8574587417196452,0.8245153767672351,0.8167308452071046,82332.0
