,precision,recall,f1-score,support
Normal,0.9516661547911548,0.669972972972973,0.7863532546631138,37000.0
Attack,0.7830466917774146,0.972227124327186,0.8674421350968351,45332.0
accuracy,0.8363941116455327,0.8363941116455327,0.8363941116455327,0.8363941116455327
macro avg,0.8673564232842847,0.8211000486500795,0.8268976948799744,82332.0
weighted avg,0.8588242768173552,0.8363941116455327,0.8310007930178416,82332.0
