,precision,recall,f1-score,support
Normal,0.9765903307888041,0.5186486486486487,0.6774933804060017,37000.0
Attack,0.7158673941482403,0.989852642724786,0.8308552595033977,45332.0
accuracy,0.7780935723655443,0.7780935723655443,0.7780935723655443,0.7780935723655443
macro avg,0.8462288624685221,0.7542506456867173,0.7541743199546997,82332.0
weighted avg,0.8330362793411283,0.7780935723655443,0.7619344325272079,82332.0
