,precision,recall,f1-score,support
Normal,0.7404528422227538,0.5020270270270271,0.5983635602229166,37000.0
Attack,0.6781434510708172,0.8563707756110474,0.7569069391097506,45332.0
accuracy,0.6971286984404605,0.6971286984404605,0.6971286984404605,0.6971286984404605
macro avg,0.7092981466467855,0.6791989013190372,0.6776352496663336,82332.0
weighted avg,0.7061452908490523,0.6971286984404605,0.6856575461785348,82332.0
