,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,Neural Network
Naive Bayes,0.0,5.97381808178808e-08,1.6345786869949594e-06,4.04269346801459e-08,5.324123686039798e-08
Decision Tree,5.97381808178808e-08,0.0,5.14168642818611e-06,3.672399089963512e-05,3.2376557973053256e-05
Logistic Regression,1.6345786869949594e-06,5.14168642818611e-06,0.0,5.738441638702327e-06,1.2660078686933386e-05
Random Forest,4.04269346801459e-08,3.672399089963512e-05,5.738441638702327e-06,0.0,4.304330407946894e-06
Neural Network,5.324123686039798e-08,3.2376557973053256e-05,1.2660078686933386e-05,4.304330407946894e-06,0.0
