Feature Set 1,Feature Set 2,t-statistic,p-value,Significant (p<0.05),Mean Accuracy Diff
first,second,0.6462109436636102,0.5533490313195548,False,0.0051280182675022875
first,third,2.9259677060296245,0.04298646015219655,True,0.04593839576349414
first,fourth,2.521759304808377,0.06523439637089135,False,0.03822086187630571
second,third,4.546414573381941,0.01044602910734897,True,0.040810377495991854
second,fourth,4.310224291990408,0.01254381813043931,True,0.03309284360880342
third,fourth,-1.0934142463102383,0.3356435987696787,False,-0.0077175338871884325
