,precision,recall,f1-score,support
Normal,0.9549640773422055,0.5352702702702703,0.6860181160047801,37000.0
Attack,0.7208286655951164,0.9793964528368482,0.8304512508767828,45332.0
accuracy,0.7798061507068941,0.7798061507068941,0.7798061507068941,0.7798061507068941
macro avg,0.8378963714686609,0.7573333615535592,0.7582346834407815,82332.0
weighted avg,0.8260491173592214,0.7798061507068941,0.7655430014687264,82332.0
