,precision,recall,f1-score,support
Normal,0.9730357466884413,0.7246486486486486,0.8306715204089536,37000.0
Attack,0.8140095295470727,0.9836098120532957,0.8908090181701945,45332.0
accuracy,0.8672326677355099,0.8672326677355099,0.8672326677355099,0.8672326677355099
macro avg,0.893522638117757,0.8541292303509722,0.860740269289574,82332.0
weighted avg,0.8854759099851847,0.8672326677355099,0.8637832272606343,82332.0
