,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,Neural Network
Naive Bayes,0.0,2.6937392433305853e-08,3.061287599293193e-08,1.946794710435858e-08,3.332589193034672e-08
Decision Tree,2.6937392433305853e-08,0.0,1.8835544907106773e-06,3.304312771132372e-06,0.0038361439611902482
Logistic Regression,3.061287599293193e-08,1.8835544907106773e-06,0.0,5.742481964167208e-07,1.4308893762260039e-05
Random Forest,1.946794710435858e-08,3.304312771132372e-06,5.742481964167208e-07,0.0,1.817427989153146e-05
Neural Network,3.332589193034672e-08,0.0038361439611902482,1.4308893762260039e-05,1.817427989153146e-05,0.0
