,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,Neural Network
Naive Bayes,0.0,1.6330668595463896e-08,1.9326900967972847e-08,8.980022107993617e-09,1.594384382612903e-08
Decision Tree,1.6330668595463896e-08,0.0,1.0077806700358594e-06,7.038763126497771e-06,0.0025206234909195945
Logistic Regression,1.9326900967972847e-08,1.0077806700358594e-06,0.0,3.9177188860559726e-07,4.374512257885661e-06
Random Forest,8.980022107993617e-09,7.038763126497771e-06,3.9177188860559726e-07,0.0,1.240640014837741e-06
Neural Network,1.594384382612903e-08,0.0025206234909195945,4.374512257885661e-06,1.240640014837741e-06,0.0
