,precision,recall,f1-score,support
Normal,0.958960374372959,0.7698378378378379,0.8540545402755498,37000.0
Attack,0.8381880712154895,0.973109503220683,0.9006237176019029,45332.0
accuracy,0.8817592187727736,0.8817592187727736,0.8817592187727736,0.8817592187727736
macro avg,0.8985742227942243,0.8714736705292605,0.8773391289387263,82332.0
weighted avg,0.8924631430809413,0.8817592187727736,0.8796955297639413,82332.0
