,precision,recall,f1-score,support
Normal,0.8067193831385971,0.5542162162162162,0.657043528412823,37000.0
Attack,0.7101892362026251,0.8916218124062473,0.7906303486723067,45332.0
accuracy,0.7399917407569353,0.7399917407569353,0.7399917407569353,0.7399917407569353
macro avg,0.7584543096706111,0.7229190143112317,0.7238369385425649,82332.0
weighted avg,0.7535698832976909,0.7399917407569353,0.7305964329457254,82332.0
