,precision,recall,f1-score,support
Normal,0.975464095553317,0.7328108108108108,0.8369035125625038,37000.0
Attack,0.8187252457092563,0.9849554398658784,0.8941803180197861,45332.0
accuracy,0.871641646018559,0.871641646018559,0.871641646018559,0.871641646018559
macro avg,0.8970946706312867,0.8588831253383447,0.865541915291145,82332.0
weighted avg,0.8891636833061839,0.871641646018559,0.8684401222038283,82332.0
