,precision,recall,f1-score,support
Normal,0.9520130288224823,0.6793513513513514,0.7928962351939183,37000.0
Attack,0.7878739115664504,0.9720506485484868,0.8703251992376136,45332.0
accuracy,0.8405115872321819,0.8405115872321819,0.8405115872321819,0.8405115872321819
macro avg,0.8699434701944664,0.8257009999499191,0.831610717215766,82332.0
weighted avg,0.8616380292664113,0.8405115872321819,0.8355286235487352,82332.0
