,precision,recall,f1-score,support
Normal,0.7770691709299881,0.5993513513513513,0.676737160120846,37000.0
Attack,0.7244302338550768,0.8596576369893232,0.7862720174323589,45332.0
accuracy,0.7426759947529514,0.7426759947529514,0.7426759947529514,0.7426759947529514
macro avg,0.7507497023925325,0.7295044941703372,0.7315045887766024,82332.0
weighted avg,0.7480861716650622,0.7426759947529514,0.7370470536208885,82332.0
